dim,sensor,score,binary_f1,ternary_f1,mae,imu_feature_count,total_feature_count_with_bigfive
0,Accel X,0.3804,0.6452,0.3736,2.8409,10,15
1,Accel Y,0.3324,0.5618,0.3274,2.8864,10,15
2,Accel Z,0.3359,0.5714,0.3221,2.9318,10,15
3,Gyro X,0.3913,0.6067,0.4193,2.6932,10,15
4,Gyro Y,0.3374,0.5773,0.3172,2.9205,10,15
5,Gyro Z,0.3817,0.6383,0.3618,2.7614,10,15
6,Mag X,0.4257,0.6813,0.4089,2.6705,10,15
7,Mag Y,0.2953,0.5169,0.2952,3.0114,10,15
8,Mag Z,0.3411,0.5934,0.3299,2.875,10,15
9,Other 9,0.3651,0.6316,0.356,2.8864,10,15
10,Other 10,0.3817,0.6154,0.3564,2.5795,10,15
11,Other 11,0.3553,0.5934,0.3382,2.8295,10,15
